Category;City;Country;Customer ID;Customer Name;Discount;Order Date;Order ID;Postal Code;Product ID;Product Name;Profit;Quantity;Region;Row;Sales;Segment;Ship Date;Ship Mode;State;Sub-Category
Office Supplies;Houston;United States;DP-13000;Darren Powers;0.2;04.01.11;CA-2011-103800;77095;OFF-PA-10000174;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";55.512;2;Central;7981;$16;Consumer;08.01.11;Standard Class;Texas;Paper
Office Supplies;Naperville;United States;PO-19195;Phillina Ober;0.8;05.01.11;CA-2011-112326;60540;OFF-BI-10004094;GBC Standard Plastic Binding Systems Combs;-5.487;2;Central;742;$4;Home Office;09.01.11;Standard Class;Illinois;Binders
Office Supplies;Naperville;United States;PO-19195;Phillina Ober;0.2;05.01.11;CA-2011-112326;60540;OFF-LA-10003223;Avery 508;42.717;3;Central;740;$12;Home Office;09.01.11;Standard Class;Illinois;Labels
Office Supplies;Naperville;United States;PO-19195;Phillina Ober;0.2;05.01.11;CA-2011-112326;60540;OFF-ST-10002743;SAFCO Boltless Steel Shelving;-647.748;3;Central;741;$273;Home Office;09.01.11;Standard Class;Illinois;Storage
Office Supplies;Philadelphia;United States;MB-18085;Mick Brown;0.2;06.01.11;CA-2011-141817;19143;OFF-AR-10003478;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;4.884;3;East;1760;$20;Consumer;13.01.11;Standard Class;Pennsylvania;Art
Office Supplies;Athens;United States;JO-15145;Jack O'Briant;0;07.01.11;CA-2011-106054;30605;OFF-AR-10002399;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;52.398;3;South;7181;$13;Corporate;08.01.11;First Class;Georgia;Art
Office Supplies;Los Angeles;United States;LS-17230;Lycoris Saunders;0;07.01.11;CA-2011-130813;90049;OFF-PA-10002005;Xerox 225;93.312;3;West;5328;$19;Consumer;09.01.11;Second Class;California;Paper
Furniture;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;7.464.078;9;South;7475;$2,574;Home Office;11.01.11;Standard Class;Kentucky;Chairs
Office Supplies;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;OFF-AR-10001662;Rogers Handheld Barrel Pencil Sharpener;14.796;2;South;7477;$5;Home Office;11.01.11;Standard Class;Kentucky;Art
Office Supplies;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;OFF-BI-10004632;Ibico Hi-Tech Manual Binding System;274.491;2;South;7476;$610;Home Office;11.01.11;Standard Class;Kentucky;Binders
Office Supplies;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;OFF-FA-10001883;Alliance Super-Size Bands, Assorted Sizes;0.311200000;4;South;7480;$31;Home Office;11.01.11;Standard Class;Kentucky;Fasteners
Office Supplies;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;OFF-PA-10000955;Southworth 25% Cotton Granite Paper & Envelopes;30.084;1;South;7481;$7;Home Office;11.01.11;Standard Class;Kentucky;Paper
Technology;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;TEC-PH-10004977;GE 30524EE4;1.136.742;2;South;7478;$392;Home Office;11.01.11;Standard Class;Kentucky;Phones
Technology;Henderson;United States;ME-17320;Maria Etezadi;0;07.01.11;CA-2011-167199;42420;TEC-PH-10004539;Wireless Extenders zBoost YX545 SOHO Signal Booster;2.041.092;4;South;7479;$756;Home Office;11.01.11;Standard Class;Kentucky;Phones
Furniture;Huntsville;United States;VS-21820;Vivek Sundaresam;0.6;08.01.11;CA-2011-105417;77340;FUR-FU-10004864;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";-537.096;3;Central;7661;$77;Consumer;13.01.11;Standard Class;Texas;Furnishings
Office Supplies;Huntsville;United States;VS-21820;Vivek Sundaresam;0.8;08.01.11;CA-2011-105417;77340;OFF-BI-10003708;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";-182.525;7;Central;7662;$10;Consumer;13.01.11;Standard Class;Texas;Binders
Office Supplies;Laredo;United States;MS-17830;Melanie Seite;0.2;10.01.11;CA-2011-135405;78041;OFF-AR-10004078;Newell 312;1.168;2;Central;593;$9;Consumer;14.01.11;Standard Class;Texas;Art
Technology;Laredo;United States;MS-17830;Melanie Seite;0.2;10.01.11;CA-2011-135405;78041;TEC-AC-10001266;Memorex Micro Travel Drive 8 GB;Sep 75;3;Central;594;$31;Consumer;14.01.11;Standard Class;Texas;Accessories
Furniture;Springfield;United States;AJ-10780;Anthony Jacobs;0;11.01.11;CA-2011-149020;22153;FUR-FU-10000965;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";212.954;1;South;867;$52;Corporate;16.01.11;Standard Class;Virginia;Furnishings
Office Supplies;Springfield;United States;AJ-10780;Anthony Jacobs;0;11.01.11;CA-2011-149020;22153;OFF-LA-10004272;Avery 482;13.583;1;South;866;$3;Corporate;16.01.11;Standard Class;Virginia;Labels
Furniture;Dover;United States;SV-20365;Seth Vernon;0;12.01.11;CA-2011-130092;19901;FUR-FU-10000010;DAX Value U-Channel Document Frames, Easel Back;30.814;2;East;717;$10;Consumer;15.01.11;First Class;Delaware;Furnishings
Office Supplies;Bossier City;United States;CS-12250;Chris Selesnick;0;14.01.11;CA-2011-162775;71111;OFF-BI-10004187;Staples;27.072;3;South;767;$6;Corporate;16.01.11;Second Class;Louisiana;Binders
